"Criterios (una letra por columna): CORRECTA = explica la decision del motor (la clase), no otra cosa; ANCLADA = solo cita hechos de la alerta (origen, activo, servicio, regla, rafaga): nada inventado ni de otro caso; COHERENTE = no contradice la clase ni el motivo real (origen declarado, exposicion, rafaga). Respuesta: s / n. Comentario libre en la ultima columna."
n;id_alerta;regla;familia;origen;activo;servicio;verdad;clase_motor;justificador;pasajes;justificacion;CORRECTA (s/n);ANCLADA (s/n);COHERENTE (s/n);comentario
58;1789139336.863864;5503;acceso_credenciales;192.168.1.10;objetivo-vuln;ssh;VP;vp_intento_acceso;llm;mapeo-acceso_credenciales mitre-T1021 d3fend-D3-NTF;La alerta vp_intento_acceso se debe a que el motor ha detectado un intento de acceso no autorizado a la máquina objetivo-vuln, específicamente al servicio SSH, mediante la técnica de adivinación de contraseñas (MITRE T1110.001) desde la dirección IP 192.168.1.10. Esto es importante porque puede indicar un posible ataque a la seguridad de la red y el activo afectado es el servicio SSH en la máquina objetivo-vuln.;;;;
59;1789139338.864375;5710;acceso_credenciales;192.168.1.10;objetivo-vuln;ssh;VP;vp_intento_acceso;llm;mapeo-acceso_credenciales mitre-T1021 mitre-T1021.004;La alerta vp_intento_acceso se debe a que el motor de seguridad detectó un intento de acceso no autorizado a través del servicio SSH en el activo objetivo-vuln, proveniente de la dirección IP 192.168.1.10.;;;;
60;1789139340.864905;5710;acceso_credenciales;192.168.1.10;objetivo-vuln;ssh;VP;vp_intento_acceso;llm;mapeo-acceso_credenciales mitre-T1021 mitre-T1021.004;La alerta vp_intento_acceso se debe a que el motor de seguridad detectó un intento de acceso no autorizado a través del servicio SSH en el activo objetivo-vuln, proveniente de la dirección IP 192.168.1.10.;;;;
61;1789139342.865399;5710;acceso_credenciales;192.168.1.10;objetivo-vuln;ssh;VP;vp_intento_acceso;llm;mapeo-acceso_credenciales mitre-T1021 mitre-T1021.004;La alerta vp_intento_acceso se debe a que el motor de seguridad detectó un intento de acceso no autorizado a través del servicio SSH en el activo objetivo-vuln, proveniente de la dirección IP 192.168.1.10.;;;;
62;1789139346.865925;5503;acceso_credenciales;192.168.1.10;objetivo-vuln;ssh;VP;vp_intento_acceso;llm;mapeo-acceso_credenciales mitre-T1021 d3fend-D3-NTF;La alerta vp_intento_acceso se debe a que el motor ha detectado un intento de acceso no autorizado a la máquina objetivo-vuln, específicamente al servicio SSH, mediante la técnica de adivinación de contraseñas (MITRE T1110.001) desde la dirección IP 192.168.1.10. Esto es importante porque puede indicar un posible ataque de un intruso que intenta acceder a la máquina sin autorización.;;;;
63;1789139348.866436;5710;acceso_credenciales;192.168.1.10;objetivo-vuln;ssh;VP;vp_intento_acceso;llm;mapeo-acceso_credenciales mitre-T1021 mitre-T1021.004;La alerta vp_intento_acceso se debe a que el motor de seguridad detectó un intento de acceso no autorizado a través del servicio SSH en el activo objetivo-vuln, proveniente de la dirección IP 192.168.1.10.;;;;
64;1789139350.866966;5710;acceso_credenciales;192.168.1.10;objetivo-vuln;ssh;VP;vp_intento_acceso;llm;mapeo-acceso_credenciales mitre-T1021 mitre-T1021.004;La alerta vp_intento_acceso se debe a que el motor de seguridad detectó un intento de acceso no autorizado a través del servicio SSH en el activo objetivo-vuln, proveniente de la dirección IP 192.168.1.10.;;;;
65;1789139352.867460;5712;acceso_credenciales;192.168.1.10;objetivo-vuln;ssh;VP;vp_intento_acceso;llm;mitre-T1021 mapeo-acceso_credenciales mitre-T1110;La alerta vp_intento_acceso se debe a que el origen 192.168.1.10 intentó acceder al servicio SSH en el activo objetivo-vuln utilizando una técnica de brute force (T1110), lo que podría indicar un intento de acceso no autorizado.;;;;
66;1789139356.868676;5503;acceso_credenciales;192.168.1.10;objetivo-vuln;ssh;VP;vp_intento_acceso;llm;mapeo-acceso_credenciales mitre-T1021 d3fend-D3-NTF;La alerta vp_intento_acceso se debe a que el motor ha detectado un intento de acceso no autorizado a la máquina objetivo-vuln, específicamente al servicio SSH, mediante la técnica de adivinación de contraseñas (MITRE T1110.001) desde la dirección IP 192.168.1.10. Esto es importante porque puede indicar un posible ataque a la seguridad de la red y el activo afectado es el servicio SSH en la máquina objetivo-vuln.;;;;
67;1789139358.869187;5710;acceso_credenciales;192.168.1.10;objetivo-vuln;ssh;VP;vp_intento_acceso;llm;mapeo-acceso_credenciales mitre-T1021 mitre-T1021.004;La alerta vp_intento_acceso se debe a que el motor de seguridad detectó un intento de acceso no autorizado a través del servicio SSH en el activo objetivo-vuln, proveniente de la dirección IP 192.168.1.10.;;;;
68;1789139360.869717;5710;acceso_credenciales;192.168.1.10;objetivo-vuln;ssh;VP;vp_intento_acceso;llm;mapeo-acceso_credenciales mitre-T1021 mitre-T1021.004;La alerta vp_intento_acceso se debe a que el motor de seguridad detectó un intento de acceso no autorizado a través del servicio SSH en el activo objetivo-vuln, proveniente de la dirección IP 192.168.1.10.;;;;
69;1789139362.870211;5710;acceso_credenciales;192.168.1.10;objetivo-vuln;ssh;VP;vp_intento_acceso;llm;mapeo-acceso_credenciales mitre-T1021 mitre-T1021.004;La alerta vp_intento_acceso se debe a que el motor de seguridad detectó un intento de acceso no autorizado a través del servicio SSH en el activo objetivo-vuln, proveniente de la dirección IP 192.168.1.10.;;;;
70;1789139366.870737;5503;acceso_credenciales;192.168.1.10;objetivo-vuln;ssh;VP;vp_intento_acceso;llm;mapeo-acceso_credenciales mitre-T1021 d3fend-D3-NTF;La alerta vp_intento_acceso se debe a que el motor ha detectado un intento de acceso no autorizado a la máquina objetivo-vuln, específicamente al servicio SSH, mediante la técnica de adivinación de contraseñas (MITRE T1110.001) desde la dirección IP 192.168.1.10. Esto es importante porque puede indicar un posible ataque a la seguridad de la red y el activo afectado es el servicio SSH en la máquina objetivo-vuln.;;;;
71;1789139368.871248;5710;acceso_credenciales;192.168.1.10;objetivo-vuln;ssh;VP;vp_intento_acceso;llm;mapeo-acceso_credenciales mitre-T1021 mitre-T1021.004;La alerta vp_intento_acceso se debe a que el motor de seguridad detectó un intento de acceso no autorizado a través del servicio SSH en el activo objetivo-vuln, proveniente de la dirección IP 192.168.1.10.;;;;
72;1789139370.871778;5710;acceso_credenciales;192.168.1.10;objetivo-vuln;ssh;VP;vp_intento_acceso;llm;mapeo-acceso_credenciales mitre-T1021 mitre-T1021.004;La alerta vp_intento_acceso se debe a que el motor de seguridad detectó un intento de acceso no autorizado a través del servicio SSH en el activo objetivo-vuln, proveniente de la dirección IP 192.168.1.10.;;;;
73;1789139372.872272;5710;acceso_credenciales;192.168.1.10;objetivo-vuln;ssh;VP;vp_intento_acceso;llm;mapeo-acceso_credenciales mitre-T1021 mitre-T1021.004;La alerta vp_intento_acceso se debe a que el motor de seguridad detectó un intento de acceso no autorizado a través del servicio SSH en el activo objetivo-vuln, proveniente de la dirección IP 192.168.1.10.;;;;
74;1789139376.872798;5503;acceso_credenciales;192.168.1.10;objetivo-vuln;ssh;VP;vp_intento_acceso;llm;mapeo-acceso_credenciales mitre-T1021 d3fend-D3-NTF;La alerta vp_intento_acceso se debe a que el motor ha detectado un intento de acceso no autorizado a la máquina objetivo-vuln, específicamente al servicio SSH, mediante la técnica de adivinación de contraseñas (MITRE T1110.001) desde la dirección IP 192.168.1.10. Esto es importante porque puede indicar un posible ataque de un intruso que intenta acceder a la máquina sin autorización.;;;;
75;1789139378.873309;5710;acceso_credenciales;192.168.1.10;objetivo-vuln;ssh;VP;vp_intento_acceso;llm;mapeo-acceso_credenciales mitre-T1021 mitre-T1021.004;La alerta vp_intento_acceso se debe a que el motor de seguridad detectó un intento de acceso no autorizado a través del servicio SSH en el activo objetivo-vuln, proveniente de la dirección IP 192.168.1.10.;;;;
76;1789139380.873839;5710;acceso_credenciales;192.168.1.10;objetivo-vuln;ssh;VP;vp_intento_acceso;llm;mapeo-acceso_credenciales mitre-T1021 mitre-T1021.004;La alerta vp_intento_acceso se debe a que el motor de seguridad detectó un intento de acceso no autorizado a través del servicio SSH en el activo objetivo-vuln, proveniente de la dirección IP 192.168.1.10.;;;;
77;1789139382.874333;5710;acceso_credenciales;192.168.1.10;objetivo-vuln;ssh;VP;vp_intento_acceso;llm;mapeo-acceso_credenciales mitre-T1021 mitre-T1021.004;La alerta vp_intento_acceso se debe a que el motor de seguridad detectó un intento de acceso no autorizado a través del servicio SSH en el activo objetivo-vuln, proveniente de la dirección IP 192.168.1.10.;;;;
78;1789139386.874859;5503;acceso_credenciales;192.168.1.10;objetivo-vuln;ssh;VP;vp_intento_acceso;llm;mapeo-acceso_credenciales mitre-T1021 d3fend-D3-NTF;La alerta vp_intento_acceso se debe a que el motor ha detectado un intento de acceso no autorizado a la máquina objetivo-vuln, específicamente al servicio SSH, mediante la técnica de adivinación de contraseñas (MITRE T1110.001) desde la dirección IP 192.168.1.10. Esto es importante porque puede indicar un posible ataque de un intruso que intenta acceder a la máquina sin autorización.;;;;
79;1789139388.875370;5710;acceso_credenciales;192.168.1.10;objetivo-vuln;ssh;VP;vp_intento_acceso;llm;mapeo-acceso_credenciales mitre-T1021 mitre-T1021.004;La alerta vp_intento_acceso se debe a que el motor de seguridad detectó un intento de acceso no autorizado a través del servicio SSH en el activo objetivo-vuln, proveniente de la dirección IP 192.168.1.10.;;;;
80;1789139390.875900;5710;acceso_credenciales;192.168.1.10;objetivo-vuln;ssh;VP;vp_intento_acceso;llm;mapeo-acceso_credenciales mitre-T1021 mitre-T1021.004;La alerta vp_intento_acceso se debe a que el motor de seguridad detectó un intento de acceso no autorizado a través del servicio SSH en el activo objetivo-vuln, proveniente de la dirección IP 192.168.1.10.;;;;
81;1789139392.876394;5710;acceso_credenciales;192.168.1.10;objetivo-vuln;ssh;VP;vp_intento_acceso;llm;mapeo-acceso_credenciales mitre-T1021 mitre-T1021.004;La alerta vp_intento_acceso se debe a que el motor de seguridad detectó un intento de acceso no autorizado a través del servicio SSH en el activo objetivo-vuln, proveniente de la dirección IP 192.168.1.10.;;;;
82;1789139396.876920;5551;acceso_credenciales;192.168.1.10;objetivo-vuln;ssh;VP;vp_intento_acceso;llm;mitre-T1021 mapeo-acceso_credenciales mitre-T1110;La alerta vp_intento_acceso se debe a que el origen 192.168.1.10 intentó acceder al servicio SSH en el activo objetivo-vuln utilizando la técnica de brute force (MITRE T1110), lo que podría indicar un intento de acceso no autorizado.;;;;
83;1789139402.878517;5710;acceso_credenciales;192.168.1.10;objetivo-vuln;ssh;VP;vp_intento_acceso;llm;mapeo-acceso_credenciales mitre-T1021 mitre-T1021.004;La alerta vp_intento_acceso se debe a que el motor de seguridad detectó un intento de acceso no autorizado a través del servicio SSH en el activo objetivo-vuln, proveniente de la dirección IP 192.168.1.10.;;;;
84;1789139404.879047;5710;acceso_credenciales;192.168.1.10;objetivo-vuln;ssh;VP;vp_intento_acceso;llm;mapeo-acceso_credenciales mitre-T1021 mitre-T1021.004;La alerta vp_intento_acceso se debe a que el motor de seguridad detectó un intento de acceso no autorizado a través del servicio SSH en el activo objetivo-vuln, proveniente de la dirección IP 192.168.1.10.;;;;
85;1789139406.879541;5710;acceso_credenciales;192.168.1.10;objetivo-vuln;ssh;VP;vp_intento_acceso;llm;mapeo-acceso_credenciales mitre-T1021 mitre-T1021.004;La alerta vp_intento_acceso se debe a que el motor de seguridad detectó un intento de acceso no autorizado a través del servicio SSH en el activo objetivo-vuln, proveniente de la dirección IP 192.168.1.10.;;;;
86;1789139410.880067;5503;acceso_credenciales;192.168.1.10;objetivo-vuln;ssh;VP;vp_intento_acceso;llm;mapeo-acceso_credenciales mitre-T1021 d3fend-D3-NTF;La alerta vp_intento_acceso se debe a que el motor ha detectado un intento de acceso no autorizado a la máquina objetivo-vuln, específicamente al servicio SSH, mediante la técnica de adivinación de contraseñas (MITRE T1110.001) desde la dirección IP 192.168.1.10. Esto es importante porque puede indicar un posible ataque a la seguridad de la red y el activo afectado es el servicio SSH en la máquina objetivo-vuln.;;;;
87;1789139412.880578;5712;acceso_credenciales;192.168.1.10;objetivo-vuln;ssh;VP;vp_intento_acceso;llm;mitre-T1021 mapeo-acceso_credenciales mitre-T1110;La alerta vp_intento_acceso se debe a que el motor de seguridad detectó un intento de acceso no autorizado a través del servicio SSH en el activo objetivo-vuln, proveniente de la dirección IP 192.168.1.10, que utiliza la técnica de brute force (T1110) para intentar acceder a las credenciales del sistema.;;;;
88;1789139414.881830;5710;acceso_credenciales;192.168.1.10;objetivo-vuln;ssh;VP;vp_intento_acceso;llm;mapeo-acceso_credenciales mitre-T1021 mitre-T1021.004;La alerta vp_intento_acceso se debe a que el motor de seguridad detectó un intento de acceso no autorizado a través del servicio SSH en el activo objetivo-vuln, proveniente de la dirección IP 192.168.1.10.;;;;
89;1789139416.882324;5710;acceso_credenciales;192.168.1.10;objetivo-vuln;ssh;VP;vp_intento_acceso;llm;mapeo-acceso_credenciales mitre-T1021 mitre-T1021.004;La alerta vp_intento_acceso se debe a que el motor de seguridad detectó un intento de acceso no autorizado a través del servicio SSH en el activo objetivo-vuln, proveniente de la dirección IP 192.168.1.10.;;;;
90;1789139420.882850;5503;acceso_credenciales;192.168.1.10;objetivo-vuln;ssh;VP;vp_intento_acceso;llm;mapeo-acceso_credenciales mitre-T1021 d3fend-D3-NTF;La alerta vp_intento_acceso se debe a que el motor ha detectado un intento de acceso no autorizado a la máquina objetivo-vuln, específicamente al servicio SSH, mediante la técnica de adivinación de contraseñas (MITRE T1110.001) desde la dirección IP 192.168.1.10. Esto es importante porque puede indicar un posible ataque de un intruso que intenta acceder a la máquina sin autorización.;;;;
91;1789139422.883361;5710;acceso_credenciales;192.168.1.10;objetivo-vuln;ssh;VP;vp_intento_acceso;llm;mapeo-acceso_credenciales mitre-T1021 mitre-T1021.004;La alerta vp_intento_acceso se debe a que el motor de seguridad detectó un intento de acceso no autorizado a través del servicio SSH en el activo objetivo-vuln, proveniente de la dirección IP 192.168.1.10.;;;;
92;1789139424.883891;5710;acceso_credenciales;192.168.1.10;objetivo-vuln;ssh;VP;vp_intento_acceso;llm;mapeo-acceso_credenciales mitre-T1021 mitre-T1021.004;La alerta vp_intento_acceso se debe a que el motor de seguridad detectó un intento de acceso no autorizado a través del servicio SSH en el activo objetivo-vuln, proveniente de la dirección IP 192.168.1.10.;;;;
93;1789139426.884385;5710;acceso_credenciales;192.168.1.10;objetivo-vuln;ssh;VP;vp_intento_acceso;llm;mapeo-acceso_credenciales mitre-T1021 mitre-T1021.004;La alerta vp_intento_acceso se debe a que el motor de seguridad detectó un intento de acceso no autorizado a través del servicio SSH en el activo objetivo-vuln, proveniente de la dirección IP 192.168.1.10.;;;;
94;1789139430.884911;5503;acceso_credenciales;192.168.1.10;objetivo-vuln;ssh;VP;vp_intento_acceso;llm;mapeo-acceso_credenciales mitre-T1021 d3fend-D3-NTF;La alerta vp_intento_acceso se debe a que el motor ha detectado un intento de acceso no autorizado a la máquina objetivo-vuln, específicamente al servicio SSH, mediante la técnica de adivinación de contraseñas (MITRE T1110.001) desde la dirección IP 192.168.1.10. Esto es importante porque puede indicar un posible ataque a la seguridad de la red y el activo afectado es el servicio SSH en la máquina objetivo-vuln.;;;;
95;1789139432.885422;5710;acceso_credenciales;192.168.1.10;objetivo-vuln;ssh;VP;vp_intento_acceso;llm;mapeo-acceso_credenciales mitre-T1021 mitre-T1021.004;La alerta vp_intento_acceso se debe a que el motor de seguridad detectó un intento de acceso no autorizado a través del servicio SSH en el activo objetivo-vuln, proveniente de la dirección IP 192.168.1.10.;;;;
96;1789137565.805192;5602;servicio_expuesto;192.168.1.10;objetivo-vuln;telnet;VP;vp_intento_acceso;llm;d3fend-D3-NTF d3fend-D3-NI mapeo-servicio_expuesto;La alerta vp_intento_acceso se refiere a un intento de acceso no autorizado al servicio telnet expuesto en el activo objetivo-vuln desde la dirección IP de origen 192.168.1.10. Esto es importante porque el servicio telnet está expuesto y puede ser vulnerable a ataques, lo que podría comprometer la seguridad del sistema.;;;;
97;1789137569.805505;5602;servicio_expuesto;192.168.1.10;objetivo-vuln;telnet;VP;vp_intento_acceso;llm;d3fend-D3-NTF d3fend-D3-NI mapeo-servicio_expuesto;La alerta vp_intento_acceso se refiere a un intento de acceso no autorizado al servicio telnet expuesto en el activo objetivo-vuln desde la dirección IP de origen 192.168.1.10. Esto es importante porque el servicio telnet está expuesto y puede ser vulnerable a ataques, lo que podría comprometer la seguridad del sistema.;;;;
98;1789137573.805818;5602;servicio_expuesto;192.168.1.10;objetivo-vuln;telnet;VP;vp_intento_acceso;llm;d3fend-D3-NTF d3fend-D3-NI mapeo-servicio_expuesto;La alerta vp_intento_acceso se refiere a un intento de acceso no autorizado al servicio telnet expuesto en el activo objetivo-vuln desde la dirección IP de origen 192.168.1.10. Esto es importante porque el servicio telnet está expuesto y puede ser vulnerable a ataques, lo que podría comprometer la seguridad del sistema.;;;;
99;1789137577.806131;5631;servicio_expuesto;192.168.1.10;objetivo-vuln;telnet;VP;vp_intento_acceso;llm;d3fend-D3-NTF mapeo-servicio_expuesto d3fend-D3-NI;La alerta vp_intento_acceso se refiere a un intento de acceso no autorizado al servicio telnet expuesto en el activo objetivo-vuln, proveniente de la dirección IP 192.168.1.10. Esto es importante porque el servicio telnet está expuesto en el activo objetivo-vuln, lo que lo hace vulnerable a ataques de acceso no autorizado.;;;;
100;1789137581.806908;5602;servicio_expuesto;192.168.1.10;objetivo-vuln;telnet;VP;vp_intento_acceso;llm;d3fend-D3-NTF d3fend-D3-NI mapeo-servicio_expuesto;La alerta vp_intento_acceso se refiere a un intento de acceso no autorizado al servicio telnet expuesto en el activo objetivo-vuln desde la dirección IP de origen 192.168.1.10. Esto es importante porque el servicio telnet está expuesto y puede ser vulnerable a ataques, lo que podría comprometer la seguridad del sistema.;;;;
101;1789137585.807221;5602;servicio_expuesto;192.168.1.10;objetivo-vuln;telnet;VP;vp_intento_acceso;llm;d3fend-D3-NTF d3fend-D3-NI mapeo-servicio_expuesto;La alerta vp_intento_acceso se refiere a un intento de acceso no autorizado al servicio telnet expuesto en el activo objetivo-vuln desde la dirección IP de origen 192.168.1.10. Esto es importante porque el servicio telnet está expuesto y puede ser vulnerable a ataques, lo que podría comprometer la seguridad del sistema.;;;;
102;1789137591.807534;5602;servicio_expuesto;192.168.1.10;objetivo-vuln;telnet;VP;vp_intento_acceso;llm;d3fend-D3-NTF d3fend-D3-NI mapeo-servicio_expuesto;La alerta vp_intento_acceso se refiere a un intento de acceso no autorizado al servicio telnet expuesto en el activo objetivo-vuln desde la dirección IP de origen 192.168.1.10. Esto es importante porque el servicio telnet está expuesto y puede ser vulnerable a ataques, lo que podría comprometer la seguridad del sistema.;;;;
103;1789137595.807847;5602;servicio_expuesto;192.168.1.10;objetivo-vuln;telnet;VP;vp_intento_acceso;llm;d3fend-D3-NTF d3fend-D3-NI mapeo-servicio_expuesto;La alerta vp_intento_acceso se refiere a un intento de acceso no autorizado al servicio telnet expuesto en el activo objetivo-vuln desde la dirección IP de origen 192.168.1.10. Esto es importante porque el servicio telnet está expuesto y puede ser vulnerable a ataques, lo que podría comprometer la seguridad del sistema.;;;;
104;1789137600.808160;5602;servicio_expuesto;192.168.1.1;objetivo-vuln;telnet;FP;fp_actividad_legitima;llm;descarte-origen-legitimo descarte-sin-exposicion descarte-fuera-de-perimetro;La alerta no es una amenaza porque el origen de la actividad (192.168.1.1) figura entre los origenes legitimos declarados por el cliente (administracion propia o auditoria autorizada), lo que indica que la actividad corresponde a una acción esperada de un administrador o auditor autorizado, y no a un atacante.;;;;
105;1789137604.808470;5602;servicio_expuesto;192.168.1.1;objetivo-vuln;telnet;FP;fp_actividad_legitima;llm;descarte-origen-legitimo descarte-sin-exposicion descarte-fuera-de-perimetro;La alerta no es una amenaza porque el origen de la actividad (192.168.1.1) figura entre los origenes legitimos declarados por el cliente (administracion propia o auditoria autorizada), lo que indica que la actividad corresponde a una acción esperada de un administrador o auditor autorizado, y no a un atacante.;;;;
106;1789137608.808780;5602;servicio_expuesto;192.168.1.1;objetivo-vuln;telnet;FP;fp_actividad_legitima;llm;descarte-origen-legitimo descarte-sin-exposicion descarte-fuera-de-perimetro;La alerta no es una amenaza porque el origen de la actividad (192.168.1.1) figura entre los origenes legitimos declarados por el cliente (administracion propia o auditoria autorizada), lo que indica que la actividad corresponde a una acción esperada de un administrador o auditor autorizado, y no a un atacante.;;;;
